Title,AvailableGlobally,ReleaseDate,HoursViewed,NumberofRatings,Rating,Genre,KeyWords,Description
Woman of the Dead: Season 1 // Totenfrau: Season 1,YES,2022-11-15,85400000,28647.0,8.0,"['COMEDY', 'DRAMA', 'HORROR']","SINGLE TAKE,ZOMBIE,FILM CREW,TELEVISION BROADCAST,ROOFTOP","THINGS GO BADLY FOR A HACK DIRECTOR AND FILM CREW SHOOTING A LOW BUDGET ZOMBIE MOVIE IN AN ABANDONED WWII JAPANESE FACILITY, WHEN THEY ARE ATTACKED BY REAL ZOMBIES."
The Last Kingdom: Seven Kings Must Die,YES,2023-04-14,83200000,33179.0,7.0,"['ACTION', 'DRAMA', 'HISTORY']","ANGLO SAXON,KINGDOM,EXPLORATION,WARRIOR,EPIC","IN THE WAKE OF KING EDWARD&APOS;S DEATH, UHTRED OF BEBBANBURG AND HIS COMRADES ADVENTURE ACROSS A FRACTURED KINGDOM IN THE HOPES OF UNITING ENGLAND AT LAST."
Sonic Prime: Season 1,YES,2022-12-15,82100000,2247.0,7.0,"['ANIMATION', 'ACTION', 'ADVENTURE']","FAST,BASED ON VIDEO GAME,SONIC THE HEDGEHOG,ANTHROPOMORPHIC ANIMAL,SONIC THE HEDGEHOG CHARACTER",SONIC IN A HIGH-OCTANE ADVENTURE WHERE THE FATE OF A STRANGE NEW MULTIVERSE RESTS IN HIS GLOVED HANDS.
Roald Dahl's Matilda The Musical,YES,2022-12-25,81000000,26853.0,7.0,"['COMEDY', 'DRAMA', 'FAMILY']","LIBRARY,HERO,GENIUS,SCHOOL,SINGING","AN ADAPTATION OF THE TONY AND OLIVIER AWARD-WINNING MUSICAL. MATILDA TELLS THE STORY OF AN EXTRAORDINARY GIRL WHO, ARMED WITH A SHARP MIND AND A VIVID IMAGINATION, DARES TO TAKE A STAND TO CHANGE HER STORY WITH MIRACULOUS RESULTS."
Better Call Saul: Season 6,NO,2022-04-19,80800000,620143.0,9.0,"['CRIME', 'DRAMA']","LAWYER,SPIN OFF,PSYCHOSOMATIC ILLNESS,CRIMINAL LAWYER,DRUG TRADE",THE TRIALS AND TRIBULATIONS OF CRIMINAL LAWYER JIMMY MCGILL IN THE YEARS LEADING UP TO HIS FATEFUL RUN-IN WITH WALTER WHITE AND JESSE PINKMAN.
All Quiet on the Western Front // Im Westen nichts Neues,YES,2022-10-28,80000000,66750.0,8.0,"['DRAMA', 'WAR']","1910S,ANTI WAR,SHELL SHOCK,PTSD POST TRAUMATIC STRESS DISORDER,DEPRESSION","A GERMAN YOUTH EAGERLY ENTERS WORLD WAR I, BUT HIS ENTHUSIASM WANES AS HE GETS A FIRSTHAND VIEW OF THE HORROR."
Stranger Things,YES,2016-07-15,77800000,104.0,7.0,['DRAMA'],"TITLE CO WRITTEN BY FEMALE,TITLE CO DIRECTED BY FEMALE,F RATED","AN UNUSUAL AND TOUCHING BOND DEVELOPS WHEN GRIEVING OONA REACHES OUT TO A MYSTERIOUS HOMELESS MAN, OFFERING HIM A PLACE TO STAY IN HER GARDEN SHED."
Rough Diamonds: Season 1,YES,2023-04-21,72800000,259.0,6.0,"['SHORT', 'BIOGRAPHY', 'DRAMA']","CHARACTER NAME AS TITLE,THEODORE ROOSEVELT CHARACTER,NICKNAME AS TITLE,SAN JUAN HILL,NEW YORK CITY","IN A SERIES OF SHORT SCENES, KEY PERIODS IN THEODORE ROOSEVELT&APOS;S POLITICAL LIFE ARE DRAMATIZED BEGINNING IN 1895 WITH HIS TIME AS NEW YORK CITY POLICE COMMISSIONER AND LATER AS ASSISTANT SECRETARY OF THE NAVY, VICE PRESIDENT AND P..."
Kill Boksoon // 길복순,YES,2023-03-31,68500000,11213.0,7.0,"['ACTION', 'THRILLER']","FEMALE ASSASSIN,GAY,LGBT,LESBIAN,DAUGHTER",A SINGLE MOTHER WHO IS A RENOWNED HIRED KILLER FINDS IT DIFFICULT TO ACHIEVE A BALANCE BETWEEN HER PERSONAL AND WORK LIFE.
Red Notice,YES,2021-11-12,68100000,308125.0,6.0,"['ACTION', 'COMEDY', 'THRILLER']","THIEF,HEIST,CHASE,RIVALRY,ART",AN INTERPOL AGENT SUCCESSFULLY TRACKS DOWN THE WORLD&APOS;S MOST WANTED ART THIEF WITH HELP FROM A RIVAL THIEF. BUT NOTHING IS AS IT SEEMS AS A SERIES OF DOUBLE-CROSSES ENSUES.
